Time: [2026-01-22T13:20:55.804Z], Method: GET, URL: /, IP: ::1
Time: [2026-01-22T13:20:55.881Z], Method: GET, URL: /css/style.css, IP: ::1
Time: [2026-01-22T13:20:56.433Z], Method: GET, URL: /favicon.ico, IP: ::1
Time: [2026-01-22T13:21:10.822Z], Method: GET, URL: /, IP: ::1
Time: [2026-01-22T13:21:10.857Z], Method: GET, URL: /css/style.css, IP: ::1
Time: [2026-01-22T13:21:13.077Z], Method: GET, URL: /fasd, IP: ::1
Time: [2026-01-22T13:21:20.935Z], Method: GET, URL: /hbjvdksakj, IP: ::1
Time: [2026-01-22T13:21:40.755Z], Method: GET, URL: /profile, IP: ::1
Time: [2026-01-22T13:21:40.807Z], Method: GET, URL: /css/style.css, IP: ::1
Time: [2026-01-22T13:21:43.218Z], Method: GET, URL: /users, IP: ::1
Time: [2026-01-22T13:21:43.248Z], Method: GET, URL: /css/style.css, IP: ::1
Time: [2026-01-22T13:21:44.489Z], Method: GET, URL: /login, IP: ::1
Time: [2026-01-22T13:21:44.518Z], Method: GET, URL: /css/style.css, IP: ::1
Time: [2026-01-22T13:21:45.540Z], Method: GET, URL: /register, IP: ::1
Time: [2026-01-22T13:21:45.584Z], Method: GET, URL: /css/style.css, IP: ::1
Time: [2026-01-22T13:21:46.758Z], Method: GET, URL: /, IP: ::1
Time: [2026-01-22T13:21:46.791Z], Method: GET, URL: /css/style.css, IP: ::1
